ID,requirements_text,CTL,Pattern
1186,"The TCS shall export and disseminate formatted NITF 2.0 files, digital imagery (if applicable), RS-170A video (with as well as without overlay), and tactical communication messages.",AG(exportNITF) & AG(disseminateDigitalImagery) & AG(exportRS170A) & AG(disseminateTacticalMessages),Pattern 4.1: Universality - Globally
1187,"The TCS shall, as a minimum, have the functionality to provide the following control capability: Send and receive tactical communication messages.",AG(TCS -> AF(sendTacticalCommunicationMessage & receiveTacticalCommunicationMessage)),Pattern 6.1: Response - Globally
1188,"The TCS shall, as a minimum, have the functionality to provide the following control capability: Send and receive annotated and un-annotated digital imagery.",AG(TCS -> AF((sendAnnotated & receiveAnnotated) & (sendUnannotated & receiveUnannotated))),Pattern 6.1: Response - Globally
1189,"The TCS shall, as a minimum, have the functionality to provide the following control capability: Establish digital communication and when completed terminate communications to the C4I systems.",AG(TCS -> AF(establishCommunication & AX(AF(terminateCommunication)))),Pattern 6.1: Response - Globally
1190,"The TCS shall, as a minimum, have the functionality to provide the following control capability: Establish and when completed terminate digital communication to peripheral devices.",AG(TCS -> AF(establishPeripheralCommunication & AX(AF(terminatePeripheralCommunication)))),Pattern 6.1: Response - Globally
1191,"The TCS shall, as a minimum, have the functionality to provide the following control capability: Send and receive analog imagery in RS-170A format with as well as without overlay.",AG(TCS -> AF((sendImagery & overlay & AX(AF(receiveImagery & overlay))) | (sendImagery & noOverlay & AX(AF(receiveImagery & noOverlay))))),Pattern 6.1: Response - Globally
1192,"The TCS shall, as a minimum, have the functionality to provide the following control capability: Establish and when completed terminate analog communication to C4I systems.",AG(TCS -> AF(establishAnalogCommunication & AX(AF(terminateAnalogCommunication)))),Pattern 6.1: Response - Globally
1193,"The TCS shall, as a minimum, have the functionality to provide the following control capability: Establish and when completed terminate analog communication to peripheral devices.",AG(TCS -> AF(establishAnalogCommunicationToPeripheralDevices & AX(AF(terminateAnalogCommunicationToPeripheralDevices)))),Pattern 6.1: Response - Globally
1194,"The TCS will have the functionality to process received C4I messages and to prepare C4I messages for transmission. Processing will include formatting, storing, routing, and display.",AG(TCS -> AF(receiveC4IMessages & AX(AF(processC4IMessages & AX(AF(prepareC4IMessagesForTransmission)))))),Pattern 6.1: Response - Globally
1195,"The TCS shall, as a minimum, have the functionality to provide the following digital data processing capability: Create Tactical Communications Messages to include United States Message Text Format (USMTF), Tactical Fire (TACFIRE), Over The Horizon Gold (OTH-Gold), and 
Intelligence and Electronic Warfare Character Oriented Message Catalog (IEWCOMCAT) For Transmission.",AG(TCS -> AF(createUSMTFMessages) & AF(createTACFIREMessages) & AF(createOTHGoldMessages) & AF(createIEWCOMCATMessages)),Pattern 6.1: Response - Globally
1196,The TCS shall have the functionality to review Incoming Tactical Communication (ITC) Messages.,AG(TCS -> AF(reviewITCMessages)),Pattern 6.1: Response - Globally
1197,The TCS shall have the functionality to prepare Annotated as well as Un-annotated Digital Imagery For Transmission.,AG(TCS -> AF(prepareAnnotatedDigitalImageryForTransmission) & AF(prepareUnannotatedDigitalImageryForTransmission)),Pattern 6.1: Response - Globally
1198,The TCS shall have the functionality to review Incoming Annotated as well as Un-annotated Digital Imagery.,AG(TCS -> AF(reviewIncomingAnnotatedDigitalImagery) & AF(reviewIncomingUnannotatedDigitalImagery)),Pattern 6.1: Response - Globally
1199,All erroneous messages that cannot be corrected by TCS shall be flagged to the operator.,AG((erroneousMessages & !correctableByTCS) -> AF(flaggedToOperator)),Pattern 6.1: Response - Globally
1200,The TCS shall provide the capability to log all incoming and outgoing formatted tactical messages.,AG((incomingMessages | outgoingMessages) -> AF(logMessages)),Pattern 6.1: Response - Globally
1201,The TCS shall have the functionality to prepare annotated as well as un-annotated analog imagery for transmission.,AG(TCS -> AF(prepareAnnotatedImagery | prepareUnannotatedImagery)),Pattern 6.1: Response - Globally
1202,The TCS shall have the functionality to receive incoming annotated as well as un-annotated analog imagery.,AG(TCS -> AF(receiveAnnotatedImagery | receiveUnannotatedImagery)),Pattern 6.1: Response - Globally
1203,"The TCS shall have the functionality to monitor the status of all C4I interfaces, and display appropriate control information.",AG(C4IInterfaces -> AF(monitorStatus & displayControlInfo)),Pattern 6.1: Response - Globally
1204,The TCS shall have the functionality to display which C4I systems are supported and online during a mission.,AG(TCS -> AF(displayC4ISupport & displayC4IOnline)),Pattern 6.1: Response - Globally
1205,The TCS shall have the functionality to monitor the status of all incoming and outgoing tactical communication messages.,AG(TCS -> AF(monitorIncomingMessagesStatus & monitorOutgoingMessagesStatus)),Pattern 6.1: Response - Globally
1206,The TCS shall have the functionality to review all tactical communication messages received and transmitted.,AG(TCS -> AF(reviewReceivedMessages & reviewTransmittedMessages)),Pattern 6.1: Response - Globally
1207,"The TCS shall have the functionality to view incoming and outgoing, annotated as well as un-annotated analog imagery.",AG(TCS -> AF((viewIncomingAnalogImagery & viewOutgoingAnalogImagery) & (viewAnnotatedAnalogImagery & viewUnAnnotatedAnalogImagery))),Pattern 6.1: Response - Globally
1208,"The TCS shall have the functionality to view incoming and outgoing, annotated as well as un-annotated digital imagery messages.",AG(TCS -> AF((viewIncomingDigitalImagery & viewOutgoingDigitalImagery) & (ViewAnnotatedDigitalImagery & viewUnAnnotatedDigitalImagery))),Pattern 6.1: Response - Globally
1209,TCS shall be capable of executing AV maintenance software and displaying appropriate status results.,AG(executeAVMaintenanceSoftware -> AF(displayStatusResults)),Pattern 6.1: Response - Globally
1210,TCS shall be capable of executing payload maintenance software and displaying appropriate status results.,AG(executePayloadMaintenanceSoftware -> AF(displayStatusResults)),Pattern 6.1: Response - Globally
1211,TCS shall be capable of executing data terminal maintenance software and displaying appropriate status results.,AG(executePayloadMaintenanceSoftware -> AF(displayStatusResults)),Pattern 6.1: Response - Globally
1212,TCS shall be capable of executing workstation and peripheral equipment maintenance software and displaying appropriate status results.,AG(executeWorkstationPeripheralMaintenanceSoftware -> AF(displayStatusResults)),Pattern 6.1: Response - Globally
1213,"As a minimum, TCS shall provide Startup FD/L for the operator workstation.",AG(startupFDLOperatorWorkstation),Pattern 4.1: Universality - Globally
1214,"The TCS shall allow the operator to control and monitor the AV's FD/L, if required and provided by the Original Equipment Manufacturer (OEM).",AG(requiredByOEM -> EX(controlAndMonitorFDL)),Pattern 6.1: Response - Globally
1215,The TCS shall allow authorized operators to install software upgrades via CD-ROM as well as other media storage devices.,AG(authorizedOperator -> EX(installSoftwareUpgrades)),Pattern 6.1: Response - Globally
1216,The TCS shall restrict operator access to this capability via password protection.,AG(operatorAccessCapability -> EF(passwordProtection)),Pattern 6.1: Response - Globally
1217,The TCS shall provide the capability for Authorized Operators to modify all TCS programmable parameters.,AG(authorizedOperator -> EX(modifyTCSParameters)),Pattern 6.1: Response - Globally
1218,"As a minimum, the TCS shall restrict Operator access to this capability via password protection.",AG(operator -> AX(passwordProtection)),Pattern 6.1: Response - Globally
1219,"The TCS shall be capable of importing National Imagery Mapping Agency (NIMA) Digital Terrain Elevation Data (DTED), Digital Feature Analysis Data (DFAD), Arc Digitized Raster Graphic and scanned hard copy maps, via compact disk.","AG(TCS -> AX(importCapability(NIMA_DTED, NIMA_DFAD, ADRG, ScannedMaps)))",Pattern 6.1: Response - Globally
1220,The TCS shall be capable of importing map information via operator procedure and shall be capable of incorporating vector format and Compressed ADRG (CADRG) maps.,AG(operatorProcedure -> AX(mapInformationImportCapability & vectorFormatCapability & CADRGCapability)),Pattern 6.1: Response - Globally
1221,The TCS shall allow an Authorized Operator to execute a software debug capability and view the resulting debug diagnostic information.,AG(authorizedOperator -> AX(executeSoftwareDebugCapability & viewDebugDiagnosticInfo)),Pattern 6.1: Response - Globally
1222,The TCS will restrict Operator access to this capability via password protection.,AG(operatorAccessToDebugCapability -> EF(passwordProtection)),Pattern 6.1: Response - Globally
1223,The TCS will interface with external systems to conduct mission coordination and operations.,AF(interfaceExternalSystem),Pattern 2.1: Existence - Globally
1224,"The TCS shall provide the capability to interface with equipment necessary to provide connectivity with standard DoD tactical (VHF, UHF, and UHF/VHF) radios, Mobile Subscriber Equipment, and military and commercial satellite communications equipment.",AF(interfaceDoDRadio & interfaceMobileSubscriberEquipment & interfaceSatelliteComm),Pattern 2.1: Existence - Globally
1225,"The TCS shall interface with external mission tasking systems (e.g., receive tasking orders, coordinate mission certification).",AF(interfaceExternalMission),Pattern 2.1: Existence - Globally
1226,The TCS shall provide the system functionality necessary to interface with the data terminal.,AF(interfaceDataTerminal),Pattern 2.1: Existence - Globally
1227,The TCS shall provide the system functionality to allow interfacing with external systems via a local area network.,AF(interfaceExternalSystems),Pattern 2.1: Existence - Globally
1228,The TCS shall provide external interfaces to launch and recovery systems.,AF(interfaceLaunchRecoverySystems),Pattern 2.1: Existence - Globally
1229,"For external communications to C4I systems, the TCS shall utilize the Universal Communication Processor as well as the Common Message Processor (CMP) Government Off The Shelf (GOTS) software capabilities of the DII/COE to communicate with C4I systems using Tactical 
Communication (TACOMM) messages. ",AG(externalCommunicationToC4ISystems & utilizeUCP & utilizeCMP & useTACOMMMessages),Pattern 4.1: Universality - Globally
1230,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with ASAS.,AF(TCSIntegrationWithASAS),Pattern 2.1: Existence - Globally
1231,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JSTARS GSM.,AF(TCSIntegrationWithJSTARS_GSM),Pattern 2.1: Existence - Globally
1232,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JMCIS.,AF(TCSIntegrationWithJMCIS),Pattern 2.1: Existence - Globally
1233,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JSIPS-N.,AF(TCSIntegrationWithJSIPSN),Pattern 2.1: Existence - Globally
1234,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with AFATDS.,AF(TCSIntegrationWithAFATDS),Pattern 2.1: Existence - Globally
1235,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with CARS.,AF(TCSIntegrationWithCARS),Pattern 2.1: Existence - Globally
1236,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with CCTV.,AF(TCSIntegrationWithCCTV),Pattern 2.1: Existence - Globally
1237,The TCS will provide the necessary hardware and software functionality to allow the TCS to integrate with Service Mission Planners.,AF(TCSIntegrationWithServiceMissionPlanner),Pattern 2.1: Existence - Globally
1238,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with AMPS.,AF(TCSIntegrationWithAMPS),Pattern 2.1: Existence - Globally
1239,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with AFMSS.,AF(TCSIntegrationWithAFMSS),Pattern 2.1: Existence - Globally
1240,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with TAMPS.,AF(TCSIntegrationWithTAMPS),Pattern 2.1: Existence - Globally
1241,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with GCS/ACS IPF.,AF(TCSIntegrationWithGCS_ACS_IPF),Pattern 2.1: Existence - Globally
1242,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JDISS.,AF(TCSIntegrationWithJDISS),Pattern 2.1: Existence - Globally
1243,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with TES.,AF(TCSIntegrationWithTES),Pattern 2.1: Existence - Globally
1244,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with IAS.,AF(TCSIntegrationWithIAS),Pattern 2.1: Existence - Globally
1245,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with ATHS.,AF(TCSIntegrationWithATHS),Pattern 2.1: Existence - Globally
1246,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with ATWCS.,AF(TCSIntegrationWithATWCS),Pattern 2.1: Existence - Globally
1247,The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with COMPASS.,AF(TCSIntegrationWithCOMPASS),Pattern 2.1: Existence - Globally
1248,The TCS shall provide interfaces with the respective UAV program-provided data links for command and control and UAV data.,AF(TCSInterfaceWithUAVDataLinks),Pattern 2.1: Existence - Globally
1249,"The TCS shall have provisions for simultaneously supporting both of the following external interfaces: LOS data link, SATCOM data link. ",AG(TCSSupportLOSDataLink & TCSSupportSATCOMDataLink),Pattern 4.1: Universality - Globally
1250,The TCS shall provide an interface between the TCS and an external hard copy printer.,AF(interfaceWithExternalPrinter),Pattern 2.1: Existence - Globally
1251,"The TCS shall as a minimum, allow Operator(s) to print freeze-frame video, C4I Messages, Mission Plans, FD/L information, and current map display.",AF(printVideo & printC4IMessages & printMissionPlans & printFDLInfo & printMapDisplay),Pattern 2.1: Existence - Globally
1252,The TCS shall have the functionality to output digital message data and imagery to a hard copy printer.,AF(outputDigitalMessageData & outputImagery),Pattern 2.1: Existence - Globally
1253,The TCS shall provide an interface between the TCS and external data storage systems.,AG(interfaceWithExternalDataStorage),Pattern 4.1: Universality - Globally
1254,The TCS shall have the functionality to transfer digital data as well as digital imagery to and from external data storage systems.,AG(TCS -> AF(transferDigitalData & transferDigitalImagery)),Pattern 6.1: Response - Globally
1255,The TCS shall have an interface between the TCS and DoD standard power supply equipment.,"AG(TCS -> AF(interface(TCS, DoDStandardPowerSupplyEquipment)))",Pattern 6.1: Response - Globally
1256,The TCS shall have the functionality to connect to the power supply equipment provided in the TCS operating environment.,AG(connectToPowerSupply),Pattern 4.1: Universality - Globally
1257,"The TCS shall have an interface to a source of current navigation information. As a minimum this information will include the location of all data terminals, launch and recovery sites, and the controlling TCS.",AG(interfaceToNavigationInfo & locationDataTerminals & locationLaunchRecoverySites & locationControllingTCS),Pattern 4.1: Universality - Globally
1258,The TCS shall implement an AV Standard Interface that will provide the proper data format to ensure communications with the selected AV.,AG(TCS & AVStandardInterface -> AF(properDataFormat & communicationWithAV)),Pattern 6.1: Response - Globally
1259,This interface shall allow for addition of future AVs and will provide the generic architecture to ensure interoperability.,AG(futureAVsAddition) & AG(genericArchitectureForInteroperability),Pattern 4.1: Universality - Globally
1260,The uplink and downlink information passed between the TCS and the AV shall be in accordance with the associated AV documentation.,AG((uplinkInfo | downlinkInfo) -> AF(accordanceAVDoc)),Pattern 6.1: Response - Globally
1261,The TCS shall support a concurrent uplink and downlink capability.,AG(concurrentUplinkDownlink),Pattern 4.1: Universality - Globally
1262,The TCS shall provide an internal interface for establishing communications with the Real Time Processor (RTP) within TCS.,AG(TCS -> AF(internalInterface & RTPCommunication)),Pattern 4.1: Universality - Globally
1263,This interface shall allow the information from the data server to be made available to other components of the TCS.,AG(infoAvailability),Pattern 4.1: Universality - Globally
1264,The RTP interface shall support distributed processing capability.,AG(distributedProcessing),Pattern 4.1: Universality - Globally
1265,"The RTP interface requirements and specifications will be defined in the Data Server IDD, TCS 238.",AG(RTPSpecDefined),Pattern 4.1: Universality - Globally
1266,The TCS shall incorporate an intercom system that provides verbal communicate in the situation where there are multiple operators.,AG(multipleOperators -> AF(intercomSystem & verbalCommunicate)),Pattern 6.1: Response - Globally
1267,The intercom system shall be compatible with service specific voice communication systems.,"AG(operational(Intercom) -> AF(compatible(Intercom, VoiceComms)))",Pattern 6.1: Response - Globally
1268,"The intercom interface requirements and specifications will be defined in the TCS to Intercom IDD, TCS 253.",AG(intercomSpecsDefinedInTCS253),Pattern 4.1: Universality - Globally
1269,The TCS will provide an interface between the TCS and a video cassette recorder (VCR).,"AG(TCS -> AF(interface(TCS, VCR)))",Pattern 6.1: Response - Globally
1270,The TCS shall allow the Operator(s) to fully control the VCR via the TCS Display input device(s).,AG(TCS & TCSDisplay -> AF(controlOperatorVCR)),Pattern 6.1: Response - Globally
1271,The TCS shall be able to route VCR recorded payload video to the C4I Interfaces.,"AG(TCS & VCR -> AF(Route(TCS, VCR, C4IInterfaces)))",Pattern 6.1: Response - Globally
1272,An RS-170A video interface shall be provided for the system to output and input analog imagery and overlays to and from a Video Cassette Recorder (VCR) for recording and playback.,AG(RS170AInterface -> AF(outputToVCR & inputFromVCR)),Pattern 6.1: Response - Globally
1273,The TCS shall have ports for outputting data and imagery to an internal hard copy printer.,AG(TCS -> AF(outputPortsForPrinter)),Pattern 6.1: Response - Globally
1274,"The TCS shall, as a minimum, allow the Operator(s) to print freeze-frame video, C4I Messages, Mission Plans, FD/L information, and current map display to an internal printer.",AG(TCS & operator -> AF(printFreezeFrameVideo & printC4IMessages & printMissionPlans & printFDLInfo & printCurrentMapDisplay)),Pattern 6.1: Response - Globally
1275,The TCS shall be able to access data storage devices.,AG(TCS -> AF(accessStorageDevices)),Pattern 6.1: Response - Globally
1276,The TCS shall have the functionality to transfer digital data as well as digital imagery to and from data storage devices.,AG(TCS -> AF(transferDigitalData & transferDigitalImagery)),Pattern 6.1: Response - Globally
1277,The TCS shall provide a CD drive for the retrieval of TCS data.,AG(TCS -> AF(CDDriveRetrieval)),Pattern 6.1: Response - Globally
1278,"The TCS shall provide a RAID for storage and retrieval of TCS data, if required. ",AG(RAIDRequired -> EF(TCSDataStorage & TCSDataRetrieval)),Pattern 6.1: Response - Globally
1279,The TCS shall have an interface to an uninterruptible power supply (UPS).,AG(TCS -> AF(interfaceToUPS)),Pattern 6.1: Response - Globally
1280,"The TCS shall provide sufficient cues to allow the operator to safely take-off, land and navigate under Instrument Flight Rules.",AG(TCS -> AF(sufficientCuesForTakeoff & sufficientCuesForLanding & sufficientCuesForNavigation)) ,Pattern 6.1: Response - Globally
1281,The TCS shall provide adequate capability to allow the operator to operate each UAV within its certified operational flight envelope.,AG(TCS -> AF(UAVoperateWithinEnvelope)),Pattern 6.1: Response - Globally
1282,Appropriate cautions and warnings shall be provided to the operator if the air vehicle deviates into unsafe flight regime.,AG(unsafeFlightRegime -> AF(provideWarnings)),Pattern 6.1: Response - Globally
1283,"For mission planning, the TCS shall provide terrain avoidance warning and minimum reception altitude calculations for line of sight flights.",AG(missionPlanning -> AF(terrainAvoidanceWarning & minRecAltitudeCalculation)),Pattern 6.1: Response - Globally
1284,"During mission execution, the TCS shall provide the operator a cautions and warnings when the UAV system has identified a malfunction.",AG(UAVMalfunction -> AF(operatorCautionWarning)),Pattern 6.1: Response - Globally
1285,The TCS shall provide the required information to allow the operator to maintain safe separation from other aircraft and a safe altitude in civilian airspace per Federal Aviation Administration (FAA) rules.,AG(needForSafeSeparationAndAltitude -> AF(TCSprovidesSafeSeparationAndAltitudeInfo)),Pattern 6.1: Response - Globally
1286,The TCS shall be designed such that no single hardware failure results in an unsafe command to be transmitted to the air vehicle.,AG(singleHardwareFailure -> AF(!unsafeCommandTransmitted)),Pattern 6.1: Response - Globally
1287,The TCS shall be designed such that no single software error results in an unsafe command to be transmitted to the air vehicle.,AG(singleSoftwareFailure -> AF(!unsafeCommandTransmitted)),Pattern 6.1: Response - Globally
1288,The TCS shall be capable of restoring power in sufficient time to avoid loss of air vehicle control during power outages.,AG(powerOutage -> AF(powerRestored & !lossOfControl)),Pattern 6.1: Response - Globally
1289,The TCS shall monitor the uplink and downlink to each UAV under its control.,AG(TCS -> AF(monitorUplink(i) & monitorDownlink(i))),Pattern 6.1: Response - Globally
1290,"Upon detection of loss of link, the TCS shall attempt to reestablish communications with the air vehicle. ",AG(lossOfLink -> AF(reestablishCommunication)),Pattern 6.1: Response - Globally
1291,The TCS design shall provide protection against injury to TCS operators and maintenance personnel.,AG(TCS -> AF(protectionAgainstInjuryOperators & protectionAgainstInjuryMaintenancePersonnel)),Pattern 6.1: Response - Globally
1292,"Using risk assessment procedures defined in DoD 5200.28(D), a risk index and the minimum security requirements for TCS shall be determined. The inputs to this procedure are the clearance or authorization of the TCS users and the sensitivities of the data that the TCS processes, stores or transfers.",AG((TCSUserClearance & TCSDataSensitivity) -> EX(riskIndex & minimumSecurityRequirements)),Pattern 6.1: Response - Globally
1293,"The TCS data sensitivities shall be determined by the data sensitivities of the systems with which it interfaces, to including the air vehicles, payloads, and C4I systems.",AG((airVehicleDataSensitivity & payloadDataSensitivity & C4IDataSensitivity) -> EX(TCSDataSensitivity)),Pattern 6.1: Response - Globally
1294,"The TCS shall be designed to protect its communication and data links against enemy Electronic Warfare (EW) threats, physical anti-radiation weaponry and physical destruction.",AG(TCS -> EX(protect(EWThreats) & protect(AntiRadiationWeaponry) & protect(PhysicalDestruction))),Pattern 6.1: Response - Globally
1295,The TCS shall be approved for operation at the same level as the systems with which it interfaces.,AG(approvedOperationLevel = interfaceSystemOperationLevel),Pattern 4.1: Universality - Globally
1296,"All TCS users, operators, maintainers and other personnel having access to TCS shall be cleared to the highest sensitivity of the data that the TCS processes, stores and transfers.",forall i : AG(TCSAccess(i) -> AF(clearedToHighestSensitivity(i))),Pattern 6.1: Response - Globally
1297,A training program consisting of an initial security training and awareness briefing covering AIS security in general but also tailored to the TCS shall be developed.,EF(initialSecurityTraining & awarenessBriefing & TCSTailoredTraining),Pattern 2.1: Existence - Globally
1298,The TCS shall be capable of operation within environments specified in the System/Subsystem Design Document for the land-based shelter and shipboard environments.,AG(TCS -> AF(operatesIn(Environment))),Pattern 6.1: Response - Globally
1299,The TCS hardware shall be mounted as well as ruggedized to withstand inter and intra theater movement.,AG(TCSHardware -> AF(mounted & ruggedized)) & AG(TCSHardware -> AF(interTheaterMovement & intraTheaterMovement)),Pattern 6.1: Response - Globally
1300,"The TCS hardware will provide the functionality and capability to receive, process, and disseminate video and telemetry data from the AV and payload; perform mission planning; monitor and control the payload; monitor and control the AV; and monitor and control the data links.",AG(TCSHardware -> AF(receiveData & processData & disseminateData & performMissionPlanning & monitorPayload & controlPayload & monitorAV & controlAV & monitorDataLinks & controlDataLinks)),Pattern 6.1: Response - Globally
1301,"The TCS hardware shall allow for long range communications from one TCS to another, data storage expansion, access to other computers to share in processing capability, and multiple external peripherals.",AG(TCSHardware -> AF(longRangeCommunications & dataStorageExpansion & accessOtherComputers & externalPeripherals)),Pattern 6.1: Response - Globally
1302,"The TCS hardware shall support the data rate characteristics of the AV, data link and payload to ensure interoperability.","AG(TCSHardware -> AF(supportDataRate(AV, DataLink, Payload)))",Pattern 6.1: Response - Globally
1303,"For each OUTRIDER system, the TCS shall provide full independent computer redundancy.",AG(outriderSystem -> EF(TCS & independentComputerRedundancy)),Pattern 6.1: Response - Globally
1304,The TCS shall have sufficient throughput to support the processing requirements of the selected data link.,AG(TCS & selectedDataLink -> EF(sufficientThroughput)),Pattern 6.1: Response - Globally
1305,"To meet growth requirements, the TCS shall be capable of adding additional storage without major hardware reconfiguration.",AG(TCS -> EX(additionalStorage & !majorHardwareReconfiguration)),Pattern 6.1: Response - Globally
1306,"The TCS computer system shall contain a CD-ROM drive that is compatible with National Imagery and Mapping Agency (NIMA), CD-ROM Digital Terrain Elevation Data (DTED), Digital Feature Analysis Data (DFAD), and embedded training media.","AG(TCS -> AF(hasCDROM & compatibleWith(NIMA, DTED, DFAD, TrainingMedia)))",Pattern 6.1: Response - Globally
1307,The TCS shall be capable of restoring power in sufficient time to avoid loss of critical mission data and loss of air vehicle control during power outages.,AG(powerOutage -> AF(powerRestored & !lossOfCriticalMissionData & !lossOfControl)),Pattern 6.1: Response - Globally
1308,The TCS shall have an uninterrupted power supply for critical phases (landing and takeoff as a minimum) of mission execution.,AG((landing | takeoff) -> EF(uninterruptedPower)),Pattern 6.1: Response - Globally
1309,"The TCS throughput shall not exceed 50% of the throughput capability delivered over any 10 second period, and as an objective throughput shall not exceed 25% of throughput capability delivered over any 10 second period.",AG(throughput <= 0.5*capability) & AG(throughput <= 0.25*capability),Pattern 4.1: Universality - Globally
1310,The TCS shall be capable of providing a 50% spare memory storage capacity over delivered storage used. As an objective a 75% spare memory storage capacity over storage used shall be provided.,AG(memoryUsed <= 0.5*totalMemory) & AG(memoryUsed <= 0.25*totalMemory),Pattern 4.1: Universality - Globally
1311,"The TCS data latency shall not be greater than that present in the Predator ground control station or Outrider ground control station, whichever is smaller.","AG(TCSLatency <= min(predatorGCSLatency, outriderGCSLatency))",Pattern 4.1: Universality - Globally
1312,"After emplacement at the operational site, the TCS shall be capable of planning and launching a mission within 1 hour of tasking.",AF(emplacement -> EF(missionPlanning & missionLaunching & timeForPlanningAndLaunching <= 1)),Pattern 2.3: Existence - After Q
1313,"The controls shall allow the air vehicle and payload operators to perform mission control, mission monitoring, and mission updates and modifications while wearing cold weather clothing and in a Mission Oriented Protective Posture (MOPP).",AG(controls -> AF(missionControl & missionMonitoring & missionUpdates & coldWeatherClothing & MOPP)),Pattern 6.1: Response - Globally
1314,The TCS shall provide the operator a caution and warning diagnostic when the TCS system has identified a malfunction.,AG(malfunction -> AF(operatorCaution & operatorWarning)),Pattern 6.1: Response - Globally
1315,"When performing a given task during mission execution, the operator shall be given appropriate warning messages from other concurrently-executing subsystem tasks.",AG(performingTask -> AF(receiveWarning)),Pattern 6.1: Response - Globally
1316,"The TCS operator shall be required to enter an acknowledgment prior to disabling the display of critical warning flags for any AV, Payload, ADT, GDT, and TCS faults.",A[!disableDisplay W enterAcknowledgment],Pattern 5.1: Precedence - Globally
1317,A combination of visual and auditory outputs will be provided to alert the TCS operator to situations which may require operator response.,AG(operatorResponseRequired -> AF(visualOutput & auditoryOutput)),Pattern 6.1: Response - Globally
1318,Visual alerts to the TCS operator shall be in the form of a displayed message box that has a display priority greater than other existing windows to ensure that it is viewable immediately by the operator.,AG(visualAlertRequired -> AF(visualAlertDisplayed & priorityGreater)),Pattern 6.1: Response - Globally
1319,"In addition to displayed alert messages to the TCS operator, auditory alerts to include tones shall also be provided. The volume of these auditory tones shall be adjustable by the operator via keyboard and trackball input to at least 20dB above the speech interference level at the operator’s ear.",AG(alertMessagesDisplayed & auditoryAlertsProvided & volumeAdjustable),Pattern 4.1: Universality - Globally
1320,All TCS warning messages and HCI actions shall be archived for later review.,AG(messagesArchived & actionsArchived),Pattern 4.1: Universality - Globally
1321,All TCS operator inputs shall be error checked such that any erroneous operator entry will not cause current processing to terminate.,AG(erroneousInput -> AF(!processingTerminated)),Pattern 6.1: Response - Globally
1322,The HCI shall prompt the operator for a valid input.,AG(promptForValidInput),Pattern 4.1: Universality - Globally
1323,Display jitter and flicker shall not be perceptible by the operator.,AG(!perceptibleJitterFlicker),Pattern 1.1: Absence - Globally
1324,The shall provide the functionality to have a maximum delay time of 1 second from operator command to system acknowledgement and response.,AG(operatorCommand -> AF(systemAcknowledgement & timeForAcknowledgement <= 1)),Pattern 6.1: Response - Globally
1325,"The TCS shall provide the necessary processing, display, and control capabilities to ensure dynamic situational awareness input to the TCS operator.",AG(processingCapability & displayCapability & controlCapability),Pattern 4.1: Universality - Globally
1326,"The TCS HCI shall provide unambiguous AV and payload control and status feedback indicators to ensure safe, efficient operations of two AVs and their payloads by a single TCS station.",AG(controlFeedbackIndicators & statusFeedbackIndicators),Pattern 4.1: Universality - Globally
1327,The TCS HCI shall provide the capability to select and amplify an object and point on a map as well as payload screen.,AG(selectObjectCapability & amplifyObjectCapability),Pattern 4.1: Universality - Globally
1328,The TCS HCI shall provide for a rapid means to cancel aural warnings.,AG(rapidAuralWarningCancellation),Pattern 4.1: Universality - Globally
1329,"For AV safety as well as mission-critical Warnings, the TCS HCI shall provide a default selection as well as an override option, along with a selection of adaptive responses, and the minimum information necessary to assist the operator in responding quickly and adaptively to the emergency.",AG(AVSafetyWarning | missionCriticalWarning -> AF(defaultSelection & overrideOption & adaptiveResponses & minimalInfo) & respondingQuickly & respondingAdaptively),Pattern 6.1: Response - Globally
1330,The TCS HCI shall provide for the capability to automatically designate target locations from the payload screen onto the map screen.,AG(autoDesignateTargetLocation),Pattern 4.1: Universality - Globally
1331,"The training capability for performance of TCS functions shall include primary mission (flight route/payload) planning, mission control and monitoring, imagery processing, tactical communications, AV control communications and TCS system on line diagnostics. ",AG(missionPlanningTraining & missionControlTraining & imageryProcessingTraining & tacticalCommsTraining & AVControlCommsTraining & onLineDiagnosticsTraining),Pattern 4.1: Universality - Globally
